Index,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,ID
1,Dr. Shaitan,1960,-,-,-,-,hindi,tt0398974
2,Nadir Khan,1968,-,-,-,-,urdu,tt1702558
3,Apna Sapna Money Money,2006,134 min,5.3,"1,892","Comedy, Musical, Romance            ",hindi,tt0493437
4,Aag Aur Sholay,1987,-,2.2,20,-,urdu,tt0273405
5,Parivar,1956,-,7.4,21,"Comedy, Drama, Family            ",hindi,tt0049595
6,Humraah: The Traitor,2008,-,-,-,Thriller            ,hindi,tt2930026
7,Jacqueline I Am Coming,2019,112 min,7.9,16,Drama            ,hindi,tt6597160
8,A Mighty Heart,2007,108 min,6.6,"26,885","Biography, Drama, History            ",urdu,tt0829459
9,Midnight Mail,1939,-,-,-,Action            ,hindi,tt0154875
10,Raktalekha,1992,175 min,6.3,12,Drama            ,bengali,tt0364628
11,Veedevadandi Babu,1997,138 min,5.6,218,Comedy            ,telugu,tt0364733
12,A Mayalu Timi Lai,2018 Video,-,-,-,"Short, Music            ",nepali,tt8272296
13,Da Tang Xuan Zang,2016,90 min,6.2,379,"Biography, History            ",sanskrit,tt5684550
14,Sikandar,1976,-,-,-,-,hindi,tt0250733
15,Pehla Qadam,1958,-,-,-,-,urdu,tt1407272
16,Amman Koil Kizhakkaalae,1986,141 min,6.9,63,Drama            ,tamil,tt0318983
17,Shatru,2013,-,4.5,11,"Action, Thriller            ",kannada,tt3148392
18,Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017 Video,5 min,-,-,"Short, Music            ",nepali,tt7836398
19,Zinda Jala Doonga,1988,-,-,-,Action            ,hindi,tt0376353
20,Tukaram,2012,156 min,7.3,231,"Biography, Drama, History            ",marathi,tt2302945
21,Ramante Edenthottam,2017,122 min,6,459,"Comedy, Drama, Romance            ",malayalam,tt6517874
22,Faslah,1974,-,-,-,"Crime, Drama, Romance            ",hindi,tt0150519
23,Jawani Ki Ghabrahat,1991,-,-,-,Thriller            ,hindi,tt4820566
24,Anbu Chinnam,1990,-,-,-,-,tamil,tt0318296
25,Naveed,2020,57 min,-,-,Documentary            ,urdu,tt12717866
26,Ramudu Bheemudu,1988,141 min,-,-,Drama            ,telugu,tt12701012
27,Vaade Kavali,2009,-,-,-,Romance            ,telugu,tt3466016
28,Aakhri Muqabla,1978,-,-,-,Action            ,hindi,tt4654666
29,Dracula,1999,92 min,4.1,16,Horror            ,hindi,tt1319563
30,Jahanara,1935,-,-,-,-,hindi,tt0398130
31,Geet,1970,-,7.1,98,"Action, Crime, Musical            ",hindi,tt0065764
32,Sej Piya Ki,1985,-,-,-,Drama            ,hindi,tt2707908
33,Sati Sita Luv Kush,1981,-,-,-,Drama            ,hindi,tt3509698
34,Nuvvu Vasthavani,2000,158 min,6.6,160,"Family, Romance            ",telugu,tt1575647
35,Jam,,-,-,-,Drama            ,bengali,-
36,Madadgaar,1987,-,5.4,11,"Action, Crime, Drama            ",hindi,tt0357879
37,Hamra Se Biyah Karba,2003,-,-,-,Drama            ,bhojpuri,tt1827428
38,Milan Ki Raat,1967,-,4.4,7,"Drama, Romance            ",hindi,tt0351354
39,Bhool Bhulaiyan,1933,-,6,6,Comedy            ,hindi,tt0213519
40,Saajan Chale Sasural,1996,134 min,6,"1,312","Comedy, Drama            ",hindi,tt0246905
41,Khaleja,2010,170 min,7.6,"8,284","Action, Comedy, Fantasy            ",telugu,tt1582519
42,Rogue,II 2017,134 min,5.1,118,"Action, Thriller            ",kannada,tt6682124
43,Shaan,,166 min,-,-,Action            ,hindi,-
44,Bhale Bullodu,1995,-,-,-,Drama            ,telugu,tt6882630
45,Jaal,1973,-,-,-,Musical            ,urdu,tt0397478
46,Yuvakudu,2000,145 min,6.9,110,Romance            ,telugu,tt0464849
47,Goolihatti,2015,156 min,-,-,Drama            ,kannada,tt13276010
48,Hamara Ghar,1950,-,-,-,-,hindi,tt0139306
49,Olessia,2019,120 min,8.1,40,"Drama, Musical            ",malayalam,tt10515954
50,Prohibited,2015,12 min,8.2,25,"Short, Drama, Thriller            ",urdu,tt5159256
